SiteId,SiteName,County,Township,TWD67Lon,TWD67Lat,Rainfall10min,Rainfall1hr,Rainfall3hr,Rainfall6hr,Rainfall12hr,Rainfall24hr,Now,Unit,PublishTime
C0M740,六腳,嘉義縣,六腳鄉,120.2825,23.4946,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M780,鹿草,嘉義縣,鹿草鄉,120.3002,23.4131,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M750,布袋,嘉義縣,布袋鎮,120.1597,23.3826,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K500,元長,雲林縣,元長鄉,120.3069,23.6515,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K510,水林,雲林縣,水林鄉,120.2378,23.5747,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K530,臺西,雲林縣,臺西鄉,120.1894,23.7033,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0G750,竹塘,彰化縣,竹塘鄉,120.3743,23.8484,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K480,莿桐,雲林縣,莿桐鄉,120.4942,23.7629,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K450,大埤,雲林縣,大埤鄉,120.4234,23.6478,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M760,民雄,嘉義縣,民雄鄉,120.4203,23.5535,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K520,雲林東勢,雲林縣,東勢鄉,120.2447,23.6767,0,0,0,0,0,0.5,0,局屬無人測站,2016-05-25 06:10:00
C0K490,古坑,雲林縣,古坑鄉,120.5516,23.6561,0,0,0,0,0,6,0,局屬無人測站,2016-05-25 06:10:00
C0G740,大城,彰化縣,大城鄉,120.3128,23.8542,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K470,林內,雲林縣,林內鄉,120.6015,23.7504,0,0,0,0,0.5,2,0,局屬無人測站,2016-05-25 06:10:00
C0M680,太保,嘉義縣,太保市,120.3233,23.4568,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K410,北港,雲林縣,北港鎮,120.2837,23.5758,0,0,0,0,0,0.5,0,局屬無人測站,2016-05-25 06:10:00
C0M650,朴子,嘉義縣,朴子市,120.2309,23.4364,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K400,斗六,雲林縣,斗六市,120.5330,23.7223,0,0,1,1.5,1.5,1.5,1.5,局屬無人測站,2016-05-25 06:10:00
C0K460,斗南,雲林縣,斗南鎮,120.4702,23.6805,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0G720,溪州,彰化縣,溪州鄉,120.4909,23.8533,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0X240,關子嶺
